COUNTY,dem_reg_dec_19,rep_reg_dec_19,other_reg_dec_19,total_reg_dec_19
ADAMS,19090,36862,10824,66776
ALLEGHENY,555649,263952,138999,958600
ARMSTRONG,13903,22848,4848,41599
BEAVER,53417,41701,14063,109181
BEDFORD,7558,21229,3049,31836
BERKS,113029,99834,40124,252987
BLAIR,21411,43762,9163,74336
BRADFORD,9196,21833,4761,35790
BUCKS,195772,184054,75104,454930
BUTLER,39667,69970,17809,127446
CAMBRIA,38774,34673,8497,81944
CAMERON,975,1615,382,2972
CARBON,17673,19457,6809,43939
CENTRE,45828,42934,20393,109155
CHESTER,142423,148586,62537,353546
CLARION,7076,13233,2685,22994
CLEARFIELD,15410,24341,5218,44969
CLINTON,7661,10181,2670,20512
COLUMBIA,13657,18186,5812,37655
CRAWFORD,18315,28133,6592,53040
CUMBERLAND,59656,87419,28909,175984
DAUPHIN,83635,72995,28028,184658
DELAWARE,190702,156575,52194,399471
ELK,7890,8880,2125,18895
ERIE,96846,69185,27331,193362
FAYETTE,40482,28490,7326,76298
FOREST,1178,1808,365,3351
FRANKLIN,23775,55584,13664,93023
FULTON,2099,5961,925,8985
GREENE,10534,8822,2119,21475
HUNTINGDON,7557,16094,2725,26376
INDIANA,18712,24598,6493,49803
JEFFERSON,8730,17623,3489,29842
JUNIATA,3405,8666,1363,13434
LACKAWANNA,83888,42144,14654,140686
LANCASTER,106762,167406,53161,327329
LAWRENCE,24002,23527,6057,53586
LEBANON,25939,46676,12901,85516
LEHIGH,111803,78576,40848,231227
LUZERNE,105254,77960,26030,209244
LYCOMING,20362,38663,9033,68058
McKEAN,6439,13952,3309,23700
MERCER,28933,31788,9085,69806
MIFFLIN,6624,15554,2761,24939
MONROE,50488,36355,21473,108316
MONTGOMERY,274955,200818,87660,563433
MONTOUR,4616,6380,2134,13130
NORTHAMPTON,95710,73809,39837,209356
NORTHUMBERLAND,18814,27225,7203,53242
PERRY,6418,17812,3505,27735
PHILADELPHIA,815218,117919,128938,1062075
PIKE,13564,17956,8586,40106
POTTER,2352,7030,1134,10516
SCHUYLKILL,29947,43884,10509,84340
SNYDER,5229,13805,2781,21815
SOMERSET,14330,27112,4474,45916
SULLIVAN,1418,2481,458,4357
SUSQUEHANNA,7151,14872,3322,25345
TIOGA,5947,15652,3235,24834
UNION,7091,12569,3911,23571
VENANGO,9642,17156,3908,30706
WARREN,9858,15665,4816,30339
WASHINGTON,66255,60214,17314,143783
WAYNE,9419,18185,5257,32861
WESTMORELAND,102458,106503,28290,237251
WYOMING,5154,9848,2005,17007
YORK,95027,145242,45504,285773
